technique,fraction,repeat,selection_seed,size,coverage_mean,coverage_max,stability_jaccard,classes,implementation,selection_seconds_total,selection_seconds_per_repeat,selection_cpu_seconds_total,rss_before_mb,rss_peak_mb,knn_backend,opf_scope,measurement_isolation
random,0.05,1,42,44,0.2356,0.7474,0.028,"{'regulatory': 48, 'traffic_light': 17}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,2,43,44,0.2445,0.8619,0.028,"{'regulatory': 60, 'traffic_light': 14}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,3,44,44,0.2456,0.9063,0.028,"{'regulatory': 53, 'traffic_light': 19}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,4,45,44,0.2438,0.9167,0.028,"{'traffic_light': 20, 'regulatory': 55}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,5,46,44,0.2395,0.7442,0.028,"{'traffic_light': 21, 'regulatory': 61}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,6,47,44,0.2454,0.7731,0.028,"{'traffic_light': 18, 'regulatory': 52}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,7,48,44,0.2416,0.8619,0.028,"{'regulatory': 46, 'traffic_light': 22}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
random,0.05,8,49,44,0.242,0.8619,0.028,"{'regulatory': 50, 'traffic_light': 18}",random sampling control,0.0012611669953912497,0.0001576458744239062,0.001294999999999824,172.359375,172.484375,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,1,42,44,0.2024,0.7054,0.252,"{'traffic_light': 18, 'regulatory': 48}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,2,43,44,0.2029,0.6951,0.252,"{'traffic_light': 21, 'regulatory': 47}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,3,44,44,0.2014,0.6868,0.252,"{'traffic_light': 22, 'regulatory': 50}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,4,45,44,0.2041,0.6951,0.252,"{'regulatory': 51, 'traffic_light': 18}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,5,46,44,0.2004,0.7054,0.252,"{'traffic_light': 21, 'regulatory': 52}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,6,47,44,0.2029,0.7482,0.252,"{'traffic_light': 26, 'regulatory': 46}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,7,48,44,0.2011,0.7482,0.252,"{'regulatory': 53, 'traffic_light': 24}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.05,8,49,44,0.1999,0.7316,0.252,"{'traffic_light': 21, 'regulatory': 56}",k-means + sample nearest to centroid on DINOv2 embeddings,198.73504025000148,24.841880031250184,848.29031,171.34375,182.796875,not_applicable,not_applicable,dedicated_process
opf_dinov2,0.05,1,42,44,0.247,0.905,1.0,"{'regulatory': 59, 'traffic_light': 21}",OPF root + quota on the full pool,5.653869125060737,5.653869125060737,4.984792999999999,171.453125,257.703125,not_applicable,full_pool,dedicated_process
typiclust_dinov2,0.05,1,42,44,0.2024,0.7482,0.245,"{'traffic_light': 22, 'regulatory': 46}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,2,43,44,0.2028,0.6868,0.245,"{'regulatory': 55, 'traffic_light': 21}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,3,44,44,0.2023,0.6868,0.245,"{'traffic_light': 22, 'regulatory': 50}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,4,45,44,0.2021,0.6532,0.245,"{'traffic_light': 21, 'regulatory': 47}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.05,5,46,44,0.2006,0.7054,0.245,"{'traffic_light': 21, 'regulatory': 51}",TypiClust,87.68430554203223,10.96053819275403,327.961009,170.15625,181.453125,sklearn_cosine_knn,not_applicable,dedicated_process
